Борона БРМ-6 (Агролюкс 12) инв.5444;Борона БРМ-6
Борона БШГ-21 К2 инв.5421;Борона БШГ-21 К2 -БЗС-1С
Борона дисковая Lemken Geliodor 1000 инв 5356;Борона дисковая Lemken Geliodor 10
Борона дисковая БДТ-6 ПР инв.1842;Борона дисковая БДТ-6 ПР
Борона КАМА-21 инв.4876;КАМА-21
Глубокорыхлитель Atilla 300/7 Maschio Gaspardo инв. 5051;Глубокорыхлитель Atilla 300/7 Maschio Gaspardo
Каток ЗККШ-6 кольчато-шпоровый инв.18;Каток 3-ККШ-6
Каток ККЗ-9.2Н инв 5168;Каток ККЗ-9,2Н
Каток ККЗ-9.2Н инв 5169;Каток ККЗ-9,2Н
Каток ККЗ-9.2Н инв 5349;Каток ККЗ-9,2Н
Культиватор Kompaktor Gigant 800 инв 1621;Компактор Lemken Gigant 800
Культиватор Lemken Gigant 800 Kompaktor инв 1627;Компактор Lemken Gigant 800
Культиватор Lemken Gigant 800 инв.1652;Компактор Lemken Gigant 800
Культиватор дисковый Vaderstad Camier CRХ 625 инв 5236;Культиватор дисковый Vaderstad Camier CRХ 625
Опрыскиватель RAU 36 KVERNELAND ix track C 50 инв 5135;Опрыскиватель RAU 36
Опрыскиватель RAU-Spidotrain Kverneland инв.1662;Опрыскиватель RAU 24
Опрыскиватель RAU-Spidotrain Kverneland инв.1667;Опрыскиватель RAU 24
Опрыскиватель RAU-Spidotrain Kverneland инв.1672;Опрыскиватель RAU 24
Опрыскиватель RAU-Spidotrain Kverneland инв.1680;Опрыскиватель RAU 24
Разбрасыватель Amazone ZG B 8200 инв.1694;Разбрасыватель Amazone ZG-B 8200
Разбрасыватель Amazone ZG-B 10001 инв.1688;Разбрасыватель Amazone ZG-B 10001
Сеялка JOHN DEERE 1890 инв 5031;Сеялка JOHN DEERE 1890
Сеялка JOHN DEERE 1890 инв 5032;Сеялка JOHN DEERE 1890
Сеялка JOHN DEERE 1890 инв 5232;Сеялка JOHN DEERE 1890
Сеялка JOHN DEERE 1890 инв 5233;Сеялка JOHN DEERE 1890
Сеялка Kverneland Monopill 24 ряда инв 5127;Сеялка Kverneland Monopill 24
Сеялка Kverneland Monopill 24 ряда инв 5128;Сеялка Kverneland Monopill 24
