Трактор Беларус-1221 8632 АА 52;Трактор Беларус-1221
Трактор John Deere 8320 1816 АА 52;Трактор John Deere
Трактор John Deere 8420 2193 АА 52;Трактор John Deere
Трактор Беларус-1221 2634 НР 52;Трактор Беларус-1221
Трактор Massey Ferguson 7622 4651 АА 52;Трактор Massey Ferguson 7622
Трактор Беларус-82.1 2624 НР 52;Трактор Беларус-82
Трактор John Deere 8335 5958 НР 52;Трактор John Deere
Трактор John Deere 8420 2654 НР 52;Трактор John Deere
Трактор Беларус-82.1 2616 НР 52;Трактор Беларус-82
Трактор Беларус-82.1 2618 НР 52;Трактор Беларус-82
Трактор VERSATILE 2375 1802 АА 52;Трактор VERSATILE 2375
Трактор VERSATILE 2375 1803 АА 52;Трактор VERSATILE 2375
Опрыскиватель Challenger RG1100 2197 АА 52;Опрыскиватель Challenger RG1100
